Day,Type,Product,Qty,Range,Stores
Thursday,Glutenfri Frallor,Glutenfri Pumpafralla Kalkon & Färskost(endast söndagsbeställning),29.799999999999997,27~43,24
Thursday,Räkmacka Liten,Räkmacka liten,24.599999999999994,17~31,13
Thursday,Varmrätt,Kyckling-och böngryta,17.799999999999997,14~25,22
Thursday,Glutenfri Frallor,Glutenfri Ost(endast söndagsbeställning),16.799999999999997,14~24,17
Thursday,Varmrätt,Pannbiff med Basmatiris,12.6,9~19,19
Thursday,Baguette,Kycklingsallad Olivie,11.799999999999997,8~15,10
Thursday,Räkstubbe,Räkstubbe,8.6,7~10,6
Thursday,Blandstubbe,Blandstubbe,7.0,4~7,3
Thursday,Varmrätt,Tacobolognese med fullkornspasta,5.6,4~12,12
Thursday,Varmrätt,Falafel med bulgur,4.199999999999999,3~8,8
Thursday,Varmrätt,Kycklingkebab med bulgur,3.5999999999999996,3~14,13
Thursday,Stubbe,Ost & Skinkstubbe,1.0,2~3,1
Thursday,Varmrätt,Kycklingpestosallad,0.7999999999999998,1~13,12
